n,tempo_ms,Ologn,On,Onlogn,On2,On3,O2n
844,4.4253e-05,9.7211,844,8204.61,712336,6.01212e+08,1.04858e+06
846,4.4169e-05,9.72451,846,8226.94,715716,6.05496e+08,1.04858e+06
848,4.3928e-05,9.72792,848,8249.28,719104,6.098e+08,1.04858e+06
850,4.389e-05,9.73132,850,8271.62,722500,6.14125e+08,1.04858e+06
852,4.3881e-05,9.73471,852,8293.97,725904,6.1847e+08,1.04858e+06
854,4.3858e-05,9.73809,854,8316.33,729316,6.22836e+08,1.04858e+06
856,4.3987e-05,9.74147,856,8338.7,732736,6.27222e+08,1.04858e+06
858,4.3775e-05,9.74483,858,8361.07,736164,6.31629e+08,1.04858e+06
860,4.4131e-05,9.74819,860,8383.45,739600,6.36056e+08,1.04858e+06
862,4.4162e-05,9.75154,862,8405.83,743044,6.40504e+08,1.04858e+06
864,4.4379e-05,9.75489,864,8428.22,746496,6.44973e+08,1.04858e+06
866,4.6582e-05,9.75822,866,8450.62,749956,6.49462e+08,1.04858e+06
868,4.597e-05,9.76155,868,8473.03,753424,6.53972e+08,1.04858e+06
870,4.6075e-05,9.76487,870,8495.44,756900,6.58503e+08,1.04858e+06
872,4.5891e-05,9.76818,872,8517.86,760384,6.63055e+08,1.04858e+06
874,4.6126e-05,9.77149,874,8540.28,763876,6.67628e+08,1.04858e+06
